timestamp,house_id,profile,consumption_kwh,generation_kwh,net_grid_flow,meter_import_kwh,meter_export_kwh
2026-01-01 00:00:00,Haz_5_Solar_Csalad,family,0.079227,0.0,0.079227,0.079227,0.0
2026-01-01 00:15:00,Haz_5_Solar_Csalad,family,0.077208,0.0,0.077208,0.156435,0.0
2026-01-01 00:30:00,Haz_5_Solar_Csalad,family,0.075552,0.0,0.075552,0.231987,0.0
2026-01-01 00:45:00,Haz_5_Solar_Csalad,family,0.079963,0.0,0.079963,0.31195,0.0
2026-01-01 01:00:00,Haz_5_Solar_Csalad,family,0.064538,0.0,0.064538,0.376488,0.0
2026-01-01 01:15:00,Haz_5_Solar_Csalad,family,0.209455,0.0,0.209455,0.585943,0.0
2026-01-01 01:30:00,Haz_5_Solar_Csalad,family,0.066247,0.0,0.066247,0.65219,0.0
2026-01-01 01:45:00,Haz_5_Solar_Csalad,family,0.060562,0.0,0.060562,0.712751,0.0
2026-01-01 02:00:00,Haz_5_Solar_Csalad,family,0.074329,0.0,0.074329,0.78708,0.0
2026-01-01 02:15:00,Haz_5_Solar_Csalad,family,0.071481,0.0,0.071481,0.858561,0.0
2026-01-01 02:30:00,Haz_5_Solar_Csalad,family,0.071174,0.0,0.071174,0.929735,0.0
2026-01-01 02:45:00,Haz_5_Solar_Csalad,family,0.064645,0.0,0.064645,0.99438,0.0
2026-01-01 03:00:00,Haz_5_Solar_Csalad,family,0.08791,0.0,0.08791,1.08229,0.0
2026-01-01 03:15:00,Haz_5_Solar_Csalad,family,0.080416,0.0,0.080416,1.162706,0.0
2026-01-01 03:30:00,Haz_5_Solar_Csalad,family,0.084581,0.0,0.084581,1.247287,0.0
2026-01-01 03:45:00,Haz_5_Solar_Csalad,family,0.078489,0.0,0.078489,1.325777,0.0
2026-01-01 04:00:00,Haz_5_Solar_Csalad,family,0.095478,0.0,0.095478,1.421255,0.0
2026-01-01 04:15:00,Haz_5_Solar_Csalad,family,0.093084,0.0,0.093084,1.514339,0.0
2026-01-01 04:30:00,Haz_5_Solar_Csalad,family,0.09338,0.0,0.09338,1.607718,0.0
2026-01-01 04:45:00,Haz_5_Solar_Csalad,family,0.097537,0.0,0.097537,1.705255,0.0
2026-01-01 05:00:00,Haz_5_Solar_Csalad,family,0.094091,0.0,0.094091,1.799346,0.0
2026-01-01 05:15:00,Haz_5_Solar_Csalad,family,0.092507,0.0,0.092507,1.891854,0.0
2026-01-01 05:30:00,Haz_5_Solar_Csalad,family,0.093728,0.0,0.093728,1.985582,0.0
2026-01-01 05:45:00,Haz_5_Solar_Csalad,family,0.098356,0.0,0.098356,2.083937,0.0
2026-01-01 06:00:00,Haz_5_Solar_Csalad,family,0.108725,0.0,0.108725,2.192662,0.0
2026-01-01 06:15:00,Haz_5_Solar_Csalad,family,0.088561,0.0,0.088561,2.281223,0.0
2026-01-01 06:30:00,Haz_5_Solar_Csalad,family,0.100074,0.0,0.100074,2.381298,0.0
2026-01-01 06:45:00,Haz_5_Solar_Csalad,family,0.093555,0.0,0.093555,2.474852,0.0
2026-01-01 07:00:00,Haz_5_Solar_Csalad,family,0.10039,0.0,0.10039,2.575242,0.0
2026-01-01 07:15:00,Haz_5_Solar_Csalad,family,0.124427,0.0,0.124427,2.699669,0.0
2026-01-01 07:30:00,Haz_5_Solar_Csalad,family,0.121274,0.0,0.121274,2.820944,0.0
2026-01-01 07:45:00,Haz_5_Solar_Csalad,family,0.101957,0.010629,0.091328,2.912272,0.0
2026-01-01 08:00:00,Haz_5_Solar_Csalad,family,1.239837,0.029212,1.210625,4.122897,0.0
