timestamp,house_id,profile,consumption_kwh,generation_kwh,net_grid_flow,meter_import_kwh,meter_export_kwh
2026-01-01 00:00:00,Haz_6_Solar_Egyedul,single,0.041749,0.0,0.041749,0.041749,0.0
2026-01-01 00:15:00,Haz_6_Solar_Egyedul,single,0.043719,0.0,0.043719,0.085468,0.0
2026-01-01 00:30:00,Haz_6_Solar_Egyedul,single,0.045362,0.0,0.045362,0.13083,0.0
2026-01-01 00:45:00,Haz_6_Solar_Egyedul,single,0.040806,0.0,0.040806,0.171636,0.0
2026-01-01 01:00:00,Haz_6_Solar_Egyedul,single,0.067267,0.0,0.067267,0.238903,0.0
2026-01-01 01:15:00,Haz_6_Solar_Egyedul,single,0.0869,0.0,0.0869,0.325803,0.0
2026-01-01 01:30:00,Haz_6_Solar_Egyedul,single,0.064932,0.0,0.064932,0.390735,0.0
2026-01-01 01:45:00,Haz_6_Solar_Egyedul,single,0.069608,0.0,0.069608,0.460343,0.0
2026-01-01 02:00:00,Haz_6_Solar_Egyedul,single,0.105412,0.0,0.105412,0.565754,0.0
2026-01-01 02:15:00,Haz_6_Solar_Egyedul,single,0.087409,0.0,0.087409,0.653163,0.0
2026-01-01 02:30:00,Haz_6_Solar_Egyedul,single,0.102065,0.0,0.102065,0.755228,0.0
2026-01-01 02:45:00,Haz_6_Solar_Egyedul,single,0.091797,0.0,0.091797,0.847025,0.0
2026-01-01 03:00:00,Haz_6_Solar_Egyedul,single,0.157221,0.0,0.157221,1.004246,0.0
2026-01-01 03:15:00,Haz_6_Solar_Egyedul,single,0.169454,0.0,0.169454,1.173699,0.0
2026-01-01 03:30:00,Haz_6_Solar_Egyedul,single,0.166239,0.0,0.166239,1.339938,0.0
2026-01-01 03:45:00,Haz_6_Solar_Egyedul,single,0.159739,0.0,0.159739,1.499678,0.0
2026-01-01 04:00:00,Haz_6_Solar_Egyedul,single,0.169915,0.0,0.169915,1.669593,0.0
2026-01-01 04:15:00,Haz_6_Solar_Egyedul,single,0.163015,0.0,0.163015,1.832608,0.0
2026-01-01 04:30:00,Haz_6_Solar_Egyedul,single,0.164857,0.0,0.164857,1.997465,0.0
2026-01-01 04:45:00,Haz_6_Solar_Egyedul,single,0.20228,0.0,0.20228,2.199745,0.0
2026-01-01 05:00:00,Haz_6_Solar_Egyedul,single,0.230409,0.0,0.230409,2.430155,0.0
2026-01-01 05:15:00,Haz_6_Solar_Egyedul,single,0.237666,0.0,0.237666,2.66782,0.0
2026-01-01 05:30:00,Haz_6_Solar_Egyedul,single,0.192186,0.0,0.192186,2.860006,0.0
2026-01-01 05:45:00,Haz_6_Solar_Egyedul,single,0.240712,0.0,0.240712,3.100718,0.0
2026-01-01 06:00:00,Haz_6_Solar_Egyedul,single,0.256188,0.0,0.256188,3.356906,0.0
2026-01-01 06:15:00,Haz_6_Solar_Egyedul,single,0.299086,0.0,0.299086,3.655992,0.0
2026-01-01 06:30:00,Haz_6_Solar_Egyedul,single,0.24537,0.0,0.24537,3.901361,0.0
2026-01-01 06:45:00,Haz_6_Solar_Egyedul,single,0.250731,0.0,0.250731,4.152092,0.0
2026-01-01 07:00:00,Haz_6_Solar_Egyedul,single,0.225475,0.0,0.225475,4.377567,0.0
2026-01-01 07:15:00,Haz_6_Solar_Egyedul,single,0.283465,0.0,0.283465,4.661033,0.0
2026-01-01 07:30:00,Haz_6_Solar_Egyedul,single,0.295536,0.0,0.295536,4.956569,0.0
2026-01-01 07:45:00,Haz_6_Solar_Egyedul,single,0.235763,0.007086,0.228677,5.185246,0.0
2026-01-01 08:00:00,Haz_6_Solar_Egyedul,single,0.189523,0.019475,0.170048,5.355295,0.0
2026-01-01 08:15:00,Haz_6_Solar_Egyedul,single,0.195953,0.028264,0.167689,5.522984,0.0
2026-01-01 08:30:00,Haz_6_Solar_Egyedul,single,0.154447,0.017619,0.136829,5.659813,0.0
2026-01-01 08:45:00,Haz_6_Solar_Egyedul,single,0.222066,0.027524,0.194542,5.854355,0.0
2026-01-01 09:00:00,Haz_6_Solar_Egyedul,single,0.075746,0.06392,0.011826,5.866181,0.0
2026-01-01 09:15:00,Haz_6_Solar_Egyedul,single,0.076472,0.043864,0.032609,5.89879,0.0
2026-01-01 09:30:00,Haz_6_Solar_Egyedul,single,0.080632,0.095971,-0.015339,5.89879,0.015339
